date,Shop_1
1/1/2022,0.7
1/2/2022,1.1
1/3/2022,1
1/4/2022,1.1
1/5/2022,1.1
1/6/2022,1.5
1/7/2022,1.6
1/8/2022,1.2
1/9/2022,1
1/10/2022,0.8
1/11/2022,0.8
1/12/2022,1.2
1/13/2022,0.9
1/14/2022,0.9
1/15/2022,1.3
1/16/2022,0.9
1/17/2022,0.8
1/18/2022,1.4
1/19/2022,1.3
1/20/2022,1.1
1/21/2022,1.4
1/22/2022,2
1/23/2022,1.3
1/24/2022,1.4
1/25/2022,1.6
1/26/2022,1.1
1/27/2022,1.3
1/28/2022,1.1
1/29/2022,1.9
1/30/2022,1.2
1/31/2022,0.8
2/1/2022,1.3
2/2/2022,0.8
2/3/2022,1.1
2/4/2022,1.3
2/5/2022,2.6
2/6/2022,1.5
2/7/2022,1
2/8/2022,1
2/9/2022,1.6
2/10/2022,1.4
2/11/2022,1.8
2/12/2022,3.2
2/13/2022,3.6
2/14/2022,4.9
2/15/2022,1.4
2/16/2022,1.3
2/17/2022,1.4
2/18/2022,1.7
2/19/2022,2.7
2/20/2022,1.6
2/21/2022,0.8
2/22/2022,0.7
2/23/2022,1.1
2/24/2022,1.8
2/25/2022,1.4
2/26/2022,2.3
2/27/2022,1.9
2/28/2022,1.4
3/1/2022,1.1
3/2/2022,1
3/3/2022,1.2
3/4/2022,1.5
3/5/2022,2.7
3/6/2022,1.8
3/7/2022,0.9
3/8/2022,1.1
3/9/2022,0.9
3/10/2022,1.3
3/11/2022,2.1
3/12/2022,2.6
3/13/2022,2.2
3/14/2022,1.4
3/15/2022,1.4
3/16/2022,1.3
3/17/2022,1.9
3/18/2022,1.9
3/19/2022,2.7
3/20/2022,1.8
3/21/2022,1.1
3/22/2022,1.2
3/23/2022,1.1
3/24/2022,1.9
3/25/2022,1.6
3/26/2022,2.8
3/27/2022,1.9
3/28/2022,1.1
3/29/2022,1.6
3/30/2022,1.7
3/31/2022,1.7
4/1/2022,1.7
4/2/2022,2.8
4/3/2022,2.1
4/4/2022,1.4
4/5/2022,1.5
4/6/2022,1.6
4/7/2022,1.9
4/8/2022,2.2
4/9/2022,2.9
4/10/2022,2.1
4/11/2022,2.2
4/12/2022,2.1
4/13/2022,2.8
4/14/2022,4.3
4/15/2022,0
4/16/2022,5.4
4/17/2022,2.5
4/18/2022,2.3
4/19/2022,1.7
4/20/2022,2.3
4/21/2022,2.7
4/22/2022,3.1
4/23/2022,3.2
4/24/2022,3.3
4/25/2022,1.1
4/26/2022,1
4/27/2022,1.7
4/28/2022,1.8
4/29/2022,2.2
4/30/2022,2.5
5/1/2022,1.7
5/2/2022,1.4
5/3/2022,1.4
5/4/2022,2
5/5/2022,2.1
5/6/2022,4.1
5/7/2022,4.3
5/8/2022,2.9
5/9/2022,1.3
5/10/2022,1.7
5/11/2022,1.8
5/12/2022,2
5/13/2022,2.4
5/14/2022,3.1
5/15/2022,2.3
5/16/2022,1.5
5/17/2022,1.9
5/18/2022,1.8
5/19/2022,2.5
5/20/2022,2.2
5/21/2022,3.2
5/22/2022,2.6
5/23/2022,1.1
5/24/2022,1.4
5/25/2022,1.6
5/26/2022,2.5
5/27/2022,2.6
5/28/2022,3.5
5/29/2022,1.9
5/30/2022,1.3
5/31/2022,1.9
6/1/2022,1.9
6/2/2022,2.2
6/3/2022,2.1
6/4/2022,4
6/5/2022,2.3
6/6/2022,1.8
6/7/2022,1.7
6/8/2022,1.9
6/9/2022,2.1
6/10/2022,1.7
6/11/2022,3.6
6/12/2022,3.2
6/13/2022,3.2
6/14/2022,1.5
6/15/2022,1.8
6/16/2022,2.1
6/17/2022,2.6
6/18/2022,4.1
6/19/2022,2.3
6/20/2022,1.4
6/21/2022,1.8
6/22/2022,2.5
6/23/2022,2.4
6/24/2022,2.2
6/25/2022,3.2
6/26/2022,2.6
6/27/2022,1.8
6/28/2022,2.1
6/29/2022,1.8
6/30/2022,2.5
7/1/2022,2.1
7/2/2022,2.9
7/3/2022,1.9
7/4/2022,1.9
7/5/2022,2
7/6/2022,2.3
7/7/2022,2.7
7/8/2022,2.2
7/9/2022,3.5
7/10/2022,2.2
7/11/2022,2.2
7/12/2022,2.9
7/13/2022,2.9
7/14/2022,3.3
7/15/2022,3.2
7/16/2022,3.5
7/17/2022,2.6
7/18/2022,2.4
7/19/2022,1.6
7/20/2022,1.7
7/21/2022,2.6
7/22/2022,3
7/23/2022,3
7/24/2022,3.1
7/25/2022,1.7
7/26/2022,2.1
7/27/2022,1.6
7/28/2022,2.5
7/29/2022,3
7/30/2022,3.4
7/31/2022,3
8/1/2022,2.1
8/2/2022,1.8
8/3/2022,2.2
8/4/2022,2.5
8/5/2022,2.2
8/6/2022,3.6
8/7/2022,3
8/8/2022,1.8
8/9/2022,2.6
8/10/2022,1.9
8/11/2022,2.7
8/12/2022,3
8/13/2022,3.7
8/14/2022,3.1
8/15/2022,2.2
8/16/2022,1.8
8/17/2022,2
8/18/2022,2.7
8/19/2022,3.5
8/20/2022,3.9
8/21/2022,2.1
8/22/2022,2
8/23/2022,2.1
8/24/2022,2
8/25/2022,3.1
8/26/2022,2.8
8/27/2022,3.2
8/28/2022,2.6
8/29/2022,1.4
8/30/2022,1.5
8/31/2022,3.2
9/1/2022,2.7
9/2/2022,2.9
9/3/2022,3.7
